,network,time
0,Maine59,8024.660000000001
1,Michigan23,10093.054
2,MSU24,10188.77
3,Santa74,2279.518
4,MIT8,3632.436
5,Northeastern19,4377.192
6,Dartmouth6,3679.94
7,Simmons81,1837.919
8,Columbia2,4295.002
9,UC64,2503.72
10,UCSD34,4450.507
11,Cal65,3785.386
12,USC35,6531.169
13,Middlebury45,2396.9269999999997
14,Vermont70,2668.307
15,UCLA26,6429.115000000001
16,UF21,13205.517
17,Syracuse56,5003.971
18,Temple83,4198.2210000000005
19,Northwestern25,4770.214
20,NYU9,6188.7480000000005
21,Wisconsin87,7470.376
22,Wake73,3380.83
23,UConn91,5490.233
24,UPenn7,6394.157
25,UChicago30,2947.122
26,UGA50,9651.081
27,Vanderbilt48,4855.7699999999995
28,Johns Hopkins55,4169.755
29,Williams40,2590.792
30,William77,3760.754
31,Virginia63,9480.401
32,Indiana69,12723.162
33,Howard90,3333.055
34,Princeton12,3752.6290000000004
35,Haverford76,1849.3329999999999
36,Wellesley22,2018.119
37,UC61,5369.416
38,UC33,5803.596
39,Carnegie49,3258.921
40,UCSC68,3657.178
41,JMU79,4574.518
42,Bowdoin47,1756.2839999999999
43,Villanova62,3697.3509999999997
44,Caltech36,1506.24
45,USFCA72,1986.2169999999999
46,Tulane29,3320.148
47,FSU53,9668.746000000001
48,Mississippi66,5855.123
49,Amherst41,1851.672
50,GWU54,4872.188
51,Cornell5,6437.164
52,Bucknell39,2192.354
53,UMass92,5261.49
54,American75,3245.419
55,Stanford3,5376.302
56,Brown11,3690.947
57,Berkeley13,7459.656
58,Swarthmore42,1747.913
59,Hamilton46,2237.927
60,Pepperdine86,2202.7999999999997
61,Yale4,4239.583
62,Georgetown15,3947.422
63,Duke14,4524.352000000001
64,Reed98,1349.116
65,BU10,6906.619
66,MU78,6052.58
67,Colgate88,2422.7690000000002
68,WashU32,3539.3430000000003
69,Auburn71,7838.447
70,Texas84,12251.76
71,Emory27,3632.062
72,Lehigh96,2569.6690000000003
73,Brandeis99,2192.316
74,UCF52,4221.553
75,Mich67,2273.9120000000003
76,Tufts18,2882.077
77,Harvard1,6765.202
78,Texas80,9926.32
79,Rochester38,2567.677
80,Wesleyan43,2026.4229999999998
81,Penn94,10078.300000000001
82,Rutgers89,5943.595
83,UCSB37,4547.429
84,Bingham82,3512.315
85,Trinity100,1937.897
86,Tennessee95,5669.117
87,UNC28,6251.826999999999
88,Oklahoma97,6496.794000000001
89,Maryland58,5632.98
90,Smith60,1682.186
91,UIllinois20,9379.618
92,Rice31,2751.463
93,Notre Dame57,4736.616
94,Baylor93,5810.91
95,Vassar85,2252.685
96,UVA16,6130.481
97,USF51,3243.6349999999998
98,Oberlin44,1828.5359999999998
99,BC17,4056.316
