,network,time
0,Cornell5,25978.502
1,Auburn71,27800.593
2,Vermont70,6859.261
3,Harvard1,22448.212000000003
4,USF51,11449.897
5,Notre Dame57,17589.064000000002
6,Caltech36,2255.199
7,Brown11,11510.686
8,WashU32,10785.959
9,William77,8625.05
10,UCLA26,23434.914
11,Columbia2,15278.235999999999
12,UGA50,37396.46
13,Swarthmore42,3285.8900000000003
14,Rice31,6445.888
15,Colgate88,4616.2970000000005
16,UC61,13246.542
17,Santa74,4931.8460000000005
18,UChicago30,6787.034000000001
19,Princeton12,8688.305
20,USFCA72,3021.0020000000004
21,JMU79,14508.341
22,Rutgers89,24901.21
23,Michigan23,36359.825
24,Syracuse56,17886.231
25,Bingham82,11955.017
26,FSU53,33707.728
27,Pepperdine86,5692.708
28,MU78,21089.799
29,NYU9,24177.399999999998
30,Bowdoin47,4295.842000000001
31,GWU54,14421.317000000001
32,BC17,15283.794
33,UIllinois20,45747.191999999995
34,Duke14,20209.920000000002
35,UCSD34,18044.688000000002
36,MIT8,9713.061
37,Tennessee95,23736.565
38,Brandeis99,5264.7880000000005
39,USC35,24547.95
40,Wellesley22,3977.786
41,UCF52,14563.725
42,Williams40,3973.567
43,UCSC68,7674.517
44,Baylor93,21522.216
45,Reed98,1175.6660000000002
46,Amherst41,2856.79
47,UF21,46072.621
48,Wake73,9106.977
49,Villanova62,10423.006000000001
50,Maryland58,21366.061999999998
51,Emory27,10370.667
52,Berkeley13,25138.97
53,UCSB37,14873.25
54,UC64,5716.956
55,Penn94,36658.939
56,Oklahoma97,24841.936
57,Texas84,43908.43
58,Northeastern19,11385.619999999999
59,UConn91,17343.416999999998
60,Mich67,2366.378
61,Maine59,7391.911999999999
62,Mississippi66,15118.222
63,Dartmouth6,8316.524
64,Hamilton46,3259.044
65,Rochester38,4272.794
66,Trinity100,3069.019
67,BU10,15990.18
68,Virginia63,19185.54
69,Texas80,33299.255000000005
70,Bucknell39,5215.121
71,Tufts18,7038.6759999999995
72,Middlebury45,3504.379
73,Wisconsin87,20633.859
74,Temple83,9580.932
75,UPenn7,18808.086
76,Howard90,5759.012000000001
77,MSU24,30782.283
78,Northwestern25,12683.058
79,Haverford76,2718.772
80,Wesleyan43,3841.17
81,UNC28,18176.058
82,Lehigh96,5654.447
83,Cal65,9498.455999999998
84,Simmons81,1622.098
85,Smith60,2892.625
86,Georgetown15,10113.876
87,Stanford3,13442.408
88,Tulane29,7574.586
89,American75,5978.936
90,Johns Hopkins55,5223.107
91,Vanderbilt48,10948.608
92,UVA16,20170.422
93,Yale4,10533.643
94,UC33,13851.984
95,UMass92,15442.283
96,Oberlin44,2878.32
97,Vassar85,3563.349
98,Carnegie49,6319.47
99,Indiana69,33768.679
